9.02183e+00,7.28437e+00,1.28283e+01,1.25886e+01
1.47081e+01,1.65539e+01,1.77140e+01,1.19375e+01
1.60130e+01,1.39983e+01,1.53088e+01,1.67187e+01
1.58142e+01,1.57223e+01,1.90498e+01,1.71809e+01
8.37425e+00,6.64060e+00,1.17062e+01,1.51623e+01
1.09279e+01,1.59652e+01,1.54103e+01,9.56701e+00
1.55081e+01,1.15727e+01,1.30002e+01,1.32959e+01
1.29293e+01,1.32671e+01,1.96359e+01,1.46824e+01
8.22907e+00,6.33088e+00,1.33849e+01,1.19651e+01
1.41395e+01,1.61124e+01,1.79200e+01,1.13691e+01
1.66018e+01,1.33688e+01,1.55518e+01,1.68867e+01
1.59240e+01,1.49093e+01,1.79868e+01,1.71121e+01
7.53187e+00,5.07192e+00,1.12745e+01,1.26592e+01
1.28669e+01,1.41179e+01,1.68783e+01,9.98078e+00
1.67298e+01,1.37260e+01,1.52486e+01,1.61564e+01
1.57307e+01,1.55216e+01,1.91060e+01,1.72461e+01
